ID,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Education
FLP00078,129000,14,6,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00079,180000,17,3,Male,0,0,0,0,0,0,0,1,0,0,NA
FLP00080,83000,3,2,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00081,151000,7,5,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00082,92000,1,0,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00083,101000,15,3,Male,0,0,0,0,0,0,1,0,0,0,NA
FLP00084,600000,12,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00085,65000,4,3,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00086,60000,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00087,93000,20,2,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00088,114000,8,0,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00089,110000,15,15,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00090,130000,15,2,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00091,92000,15,2,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00092,164000,8,0,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00093,80000,0,0,Female,0,0,0,0,0,0,0,0,0,0,NA
FLP00094,117000,10,6,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00095,133000,1,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00096,85000,2,2,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00097,128000,12,0,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00098,106000,10,2,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00099,182000,19,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00100,80000,6,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00101,120000,15,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00102,145000,8,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00103,66000,3,2,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00104,81000,8,2,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00105,49000,4,4,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00106,85000,0,0,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00107,86000,1,0,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00108,95000,1,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00109,220000,11,6,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00110,67000,4,1,Female,0,0,0,0,0,0,0,0,0,0,NA
FLP00111,160000,15,6,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00112,230000,15,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00113,177000,6,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00114,52000,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00115,123000,2,2,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00116,200000,10,10,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00117,88000,0,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00118,54000,0,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00119,75000,1,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00120,110000,4,4,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00121,86000,0,0,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00122,55000,4,0,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00123,104000,7,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00124,110000,2,0.5,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00125,150000,6,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00126,190000,10,4,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00127,128000,7,0,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00128,240000,15,5,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00129,226000,8,0,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00130,102000,6,2,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00131,120000,7,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00132,210000,18,4.5,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00133,96000,5,4,Other,0,0,0,0,0,0,0,0,0,0,NA
FLP00134,81000,11,11,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00135,82000,0,0,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00136,150000,19,5,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00137,145000,11,4,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00138,47000,2,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00139,83000,0,0,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00140,121000,1,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00141,166000,18,3,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00142,180000,20,10,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00143,191000,10,2,Female,0,0,0,0,0,0,0,0,0,0,NA
FLP00144,289000,16,4,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00145,145000,6,6,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00146,175000,2,2,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00147,250000,13,5,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00148,190000,10,5,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00149,160000,7,0,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00150,180000,2,2,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00151,350000,15,3,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00152,115000,12,1,Male,0,0,0,0,0,0,0,0,0,0,NA
FLP00153,250000,11,8,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00154,292000,12,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00155,130000,3,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00156,250000,20,4,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00157,77000,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00158,240000,10,4,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00159,127000,5,1,Male,0,1,0,0,0,0,0,1,0,0,Bachelor's Degree
FLP00160,100000,1,0,NA,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00161,229000,14,5,Male,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00162,113000,6,6,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00163,170000,12,6,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
